iteration,n_redundant,n_variables,icr_std,icr_raw,effective_dimension,icr_effective
0,0,20,0.05,0.04929674061476711,11.574452365981347,0.08639717615833951
0,5,25,0.04,0.03913869501965444,10.602230256753733,0.09431977761122377
0,10,30,0.03333333333333333,0.03276901058940193,10.665812133672011,0.09375751114563476
0,20,40,0.025,0.024597299925537924,11.384170846095056,0.0878412678023903
1,0,20,0.05,0.05302894806408958,11.247817279513841,0.08890613842219372
1,5,25,0.04,0.04264683137953077,10.91793320938414,0.09159242695682401
1,10,30,0.03333333333333333,0.03578222794177792,10.737794360695688,0.09312899524881675
1,20,40,0.025,0.026546270167080548,11.193520250630684,0.08933740035389282
2,0,20,0.05,0.05355580767948816,10.933818651377248,0.09145935485897581
2,5,25,0.04,0.04308132774646504,10.215356873598388,0.09789183210862679
2,10,30,0.03333333333333333,0.03571914301986918,10.225550226014104,0.09779424851446823
2,20,40,0.025,0.026898757768120594,10.895930285978608,0.09177738602887783
3,0,20,0.05,0.0506855615529751,11.558432804142127,0.08651691946001848
3,5,25,0.04,0.040471566022764416,10.977912833765036,0.09109199673404907
3,10,30,0.03333333333333333,0.033909100941992204,11.138440372416616,0.08977917612921944
3,20,40,0.025,0.02534048871835695,11.459323895499278,0.08726518327950887
4,0,20,0.05,0.05642766668629065,12.560943814423625,0.07961185200523774
4,5,25,0.04,0.04517325440848805,11.678170669794554,0.0856298497663241
4,10,30,0.03333333333333333,0.0377297949814851,11.774915947114284,0.08492629624630765
4,20,40,0.025,0.028199666725313693,12.391722891423662,0.0806990285985254
5,0,20,0.05,0.04881342554525904,11.599364700122543,0.08621161812331286
5,5,25,0.04,0.03898805197364851,10.648482456174309,0.09391009508779066
5,10,30,0.03333333333333333,0.032367969014214584,10.935378214111175,0.09144631126791619
5,20,40,0.025,0.024412550105950493,11.378729256199911,0.08788327567027149
6,0,20,0.05,0.0492250204831969,12.840005525938109,0.07788158641987333
6,5,25,0.04,0.03912905790312568,11.956647673382376,0.08363548273034571
6,10,30,0.03333333333333333,0.032992171947158665,12.044299595001181,0.08302682875931085
6,20,40,0.025,0.024581541144380548,12.681526135440762,0.07885486252362983
7,0,20,0.05,0.05594421400640598,11.95956503308669,0.08361508108643197
7,5,25,0.04,0.044497350605437455,11.014381673877695,0.09079038929363181
7,10,30,0.03333333333333333,0.03712039297237687,11.07005507485121,0.09033378725204226
7,20,40,0.025,0.02798175379253556,11.77394211832809,0.0849333205437909
8,0,20,0.05,0.04729173028589738,12.380634226171201,0.08077130635893578
8,5,25,0.04,0.037763088956154135,11.414786510056004,0.08760566823733734
8,10,30,0.03333333333333333,0.031571793001380084,11.714695543334557,0.08536286720391818
8,20,40,0.025,0.023572189345737335,12.185909639964551,0.08206199040902366
9,0,20,0.05,0.043263627922271904,11.620571762857344,0.08605428548673351
9,5,25,0.04,0.03453018200449431,10.595213307860092,0.09438224327755128
9,10,30,0.03333333333333333,0.028821469904548286,10.776117442034824,0.09279780082010435
9,20,40,0.025,0.02156754264519602,11.35531715104622,0.08806447118105065
10,0,20,0.05,0.06056713470573892,11.093080693368174,0.09014628376388126
10,5,25,0.04,0.0486568173034163,10.529248249777387,0.09497354191655062
10,10,30,0.03333333333333333,0.04040733009871514,10.306282324084775,0.09702819780737985
10,20,40,0.025,0.030373982020912228,10.977278644897005,0.09109725937993465
11,0,20,0.05,0.05141243530221081,12.0180022453379,0.08320850500655601
11,5,25,0.04,0.04084892961814045,11.344117974787485,0.08815141046862512
11,10,30,0.03333333333333333,0.03413421436429673,11.34158594730341,0.08817109041419038
11,20,40,0.025,0.02564083484358236,11.810762535340976,0.08466853829358868
12,0,20,0.05,0.05459433349557869,12.348369337490682,0.08098235262237552
12,5,25,0.04,0.04401610271396445,11.616633893726613,0.08608345663196246
12,10,30,0.03333333333333333,0.03678341755589335,11.621467543413619,0.0860476524384171
12,20,40,0.025,0.027318943577501517,12.133115414220534,0.08241906269415
13,0,20,0.05,0.0531631254446001,11.952334895902128,0.08366566103689507
13,5,25,0.04,0.04290861488786994,11.078118510923227,0.09026803594978532
13,10,30,0.03333333333333333,0.035502661350920534,11.194012989838635,0.08933346789107266
13,20,40,0.025,0.0265848760025654,11.77495241521934,0.0849260332217973
14,0,20,0.05,0.048803854938527416,12.286146452997778,0.08139248574202071
14,5,25,0.04,0.03889018414118439,11.665183803940582,0.08572518160084137
14,10,30,0.03333333333333333,0.032446459818429516,11.612624964811724,0.08611317450018184
14,20,40,0.025,0.024319681539243288,12.180722035902386,0.08209693949607617
15,0,20,0.05,0.05354786423486837,11.617713806955297,0.08607545482841207
15,5,25,0.04,0.042935840347387844,10.8559916925133,0.09211502995987346
15,10,30,0.03333333333333333,0.03589863674664536,10.907700111727673,0.09167835471795069
15,20,40,0.025,0.02684307299068536,11.618256929812707,0.08607143102800366
16,0,20,0.05,0.056629780100864995,12.065083519109077,0.08288380253780814
16,5,25,0.04,0.045395231574421956,11.209888405678042,0.08920695405794399
16,10,30,0.03333333333333333,0.03797012968417261,11.226607456358472,0.08907410398798836
16,20,40,0.025,0.028465445290383234,11.968829561269441,0.08355035844406641
17,0,20,0.05,0.04958842479418133,11.796159289946887,0.08477335507432797
17,5,25,0.04,0.039428751837848094,11.183973666924748,0.0894136583097812
17,10,30,0.03333333333333333,0.03309581173630844,11.120568816871453,0.08992345773562056
17,20,40,0.025,0.02473476139948001,11.694359073503893,0.08551131307962972
18,0,20,0.05,0.05485606374273558,12.218024339460863,0.08184629300256627
18,5,25,0.04,0.04383837645787166,11.35887080749165,0.08803691994986493
18,10,30,0.03333333333333333,0.03660847879682329,11.608001054276004,0.08614747666926108
18,20,40,0.025,0.02745584315681357,12.066910801560443,0.0828712515112554
19,0,20,0.05,0.057450051748184794,12.461654596235963,0.08024616573003472
19,5,25,0.04,0.04637090017765469,11.816531861971091,0.08462719956083561
19,10,30,0.03333333333333333,0.03851062386614822,11.746933086823553,0.08512860272624627
19,20,40,0.025,0.02886718671159506,12.299970502248238,0.08130100798349199
20,0,20,0.05,0.05514318852839566,11.873212365168856,0.08422320508084152
20,5,25,0.04,0.04389413444497755,10.898050091801325,0.09175953418972689
20,10,30,0.03333333333333333,0.03646736369970009,11.039608817269025,0.09058291978930642
20,20,40,0.025,0.027673030270271803,11.528208498290066,0.08674374688385676
21,0,20,0.05,0.05401998392401193,11.814376555746962,0.08464263816896558
21,5,25,0.04,0.042833993585691,10.777157358840329,0.09278884651152616
21,10,30,0.03333333333333333,0.0360161071048406,10.910477640322616,0.09165501575331862
21,20,40,0.025,0.026913652694721502,11.55133699004684,0.08657006551377089
22,0,20,0.05,0.0521680134626945,12.161473091402843,0.08222688094478599
22,5,25,0.04,0.04169865793772127,11.401029541251544,0.08771137697536614
22,10,30,0.03333333333333333,0.03478943953210368,11.332682402136276,0.0882403622121709
22,20,40,0.025,0.02603369797391466,11.877228588801247,0.08419472543812755
23,0,20,0.05,0.0536432776045982,12.38475307641224,0.08074444390050703
23,5,25,0.04,0.04289543709693165,11.449299745004957,0.08734158614689733
23,10,30,0.03333333333333333,0.03575512432547732,11.408555474002,0.08765351601951851
23,20,40,0.025,0.026768081135808797,12.232500399783875,0.08174943530087014
24,0,20,0.05,0.05502893839888171,12.290500145661214,0.08136365389109242
24,5,25,0.04,0.044177172368342614,11.299313323359003,0.08850095323338861
