iteration,pooled_effect,i_squared,tau_squared,icr_mean,icr_sd,icrd
0,0.4655608148149248,28.182907570374095,0.008086061445065858,0.08125000000000002,0.06829394189823867,0.1875
1,0.5533118827280382,0.0,0.0,0.08125,0.06897689830660697,0.1875
2,0.47891887210346656,31.792370270637566,0.009620529371659197,0.09124999999999998,0.07767118191452993,0.1875
3,0.539823341611962,9.419697853308001,0.0021609880599864576,0.052500000000000005,0.0558457697592217,0.1875
4,0.5340138762335759,0.0,0.0,0.10250000000000001,0.07088723439378912,0.1875
5,0.41731619047472107,32.855861165953826,0.010032736686818328,0.08125000000000002,0.06549093448714868,0.1875
6,0.4631664048600077,55.15519969973014,0.025380412649971172,0.09875,0.07125000000000001,0.1875
7,0.5913457374923542,22.92743503741971,0.00622746643317866,0.075,0.06959705453537528,0.1875
8,0.47354007022816813,0.0,0.0,0.08124999999999999,0.08144208064630963,0.1875
9,0.5069860141520248,0.0,0.0,0.09875000000000002,0.07383469712811179,0.1875
10,0.5119657374627468,0.0,0.0,0.051250000000000004,0.02764168048436998,0.08750000000000001
11,0.4966607118816355,9.968127310804817,0.0022883560197623264,0.12000000000000002,0.07053367989832943,0.17500000000000002
12,0.4370751590131639,0.5988700005160872,0.00012365537202405045,0.07375000000000001,0.0557477578024444,0.1875
13,0.49951470227733397,0.0,0.0,0.0875,0.07745966692414834,0.1875
14,0.5796910039776629,0.0,0.0,0.08625,0.07855133671682489,0.1875
15,0.5052377115012465,0.0,0.0,0.07375000000000001,0.0705890395174775,0.1875
16,0.4996429030823765,10.064815821525489,0.0023138769032862057,0.0775,0.07154544010627092,0.1875
17,0.42368659876345866,0.0,0.0,0.10875000000000001,0.07746975216173084,0.1875
18,0.47218399578536996,21.102981122418218,0.005514155076358187,0.05499999999999999,0.054256336035526764,0.1875
19,0.4921359007933355,35.20777055443222,0.011234779657755219,0.06499999999999999,0.07219764539096826,0.1875
20,0.4870455861680311,48.09573280012975,0.01916151660015277,0.06375,0.05375,0.1875
21,0.4848427428244919,47.66652522349596,0.018829304298682133,0.07625000000000001,0.06856794075951239,0.1875
22,0.5469642551674533,0.0,0.0,0.08625000000000002,0.06481946081232087,0.1875
23,0.5012581760791286,26.181314598645884,0.007338157904758919,0.061250000000000006,0.0557477578024444,0.1875
24,0.5482738848123415,0.0,0.0,0.1125,0.07664854858377947,0.1875
25,0.5075440082816386,4.946893330299096,0.0010769585643876291,0.085,0.06244997998398398,0.17500000000000002
26,0.3961777110912724,30.524888420241425,0.008988390495158096,0.07625,0.06577661058461436,0.1875
27,0.5341189952305677,0.0,0.0,0.045,0.037583240945932274,0.08750000000000001
28,0.4495983815980785,0.0,0.0,0.07625,0.06577661058461436,0.1875
29,0.4787235291530318,0.0,0.0,0.08875000000000002,0.07633192320386013,0.1875
30,0.4698576750903561,34.998981243483655,0.011103390345402276,0.10375000000000001,0.0693834454318896,0.1875
31,0.4490251131158956,12.430425554833395,0.002918023852443134,0.05500000000000001,0.05068283733178324,0.1875
32,0.46078266609083174,0.0,0.0,0.0675,0.05567764362830023,0.1875
33,0.4364238089169945,4.723430585420084,0.0010175447075592551,0.1025,0.07022285952594069,0.17500000000000002
34,0.5355566302327182,25.395118222483354,0.00707289893998383,0.11750000000000001,0.07335700375560605,0.17500000000000002
35,0.5464383093241468,35.1360433311451,0.011275933288146715,0.09375,0.08736596877503278,0.1875
36,0.42049453494467176,36.011884157543115,0.011544313402349168,0.05375,0.05837647214417809,0.1875
37,0.4745122897989168,0.0,0.0,0.05750000000000001,0.05338539126015657,0.1875
38,0.5468756787167685,16.661022027347556,0.004158990121258731,0.052500000000000005,0.05500000000000001,0.1875
39,0.515371074344037,0.0,0.0,0.0675,0.07119515432949072,0.1875
40,0.4466160016266973,30.99883555272658,0.00923861964278869,0.08125,0.08144208064630963,0.1875
41,0.5323566373517056,0.0,0.0,0.0775,0.06819090848492929,0.1875
42,0.5231709604655631,27.12119737970975,0.007720804675166479,0.10375000000000001,0.08178668901477795,0.1875
43,0.5219997564030914,0.0,0.0,0.052500000000000005,0.0558457697592217,0.1875
44,0.548843162131839,49.89386526054468,0.02075298706933278,0.07125000000000001,0.05304773793480736,0.1875
45,0.5131324781622566,8.54315080137327,0.0019344975522738485,0.0425,0.03799671038392666,0.08750000000000001
46,0.5001788135387824,0.0,0.0,0.10625000000000002,0.06965315857877517,0.1875
47,0.4815724899470891,0.0,0.0,0.0975,0.08455767262643882,0.1875
48,0.451092596062088,0.0,0.0,0.061250000000000006,0.0557477578024444,0.1875
49,0.3935832444284685,0.0,0.0,0.057499999999999996,0.03674234614174768,0.08750000000000001
50,0.4901142265031822,0.0,0.0,0.08249999999999999,0.08104782538723664,0.1875
51,0.41214221623962116,0.0,0.0,0.10125000000000002,0.07168725479469835,0.1875
52,0.503692684808737,3.3772360652156954,0.0007229248520984715,0.07875000000000001,0.06709368450159822,0.1875
53,0.5437204820212064,0.0,0.0,0.045,0.05309190145398826,0.1875
54,0.5108949584281125,29.147898989373715,0.008522707673469576,0.1,0.058094750193111264,0.17500000000000002
55,0.4382804541632217,48.08249672778275,0.019047314321335062,0.13125,0.07272594103894428,0.1875
56,0.4906539264144771,12.882139670608902,0.003054273516198649,0.12,0.08046738469715542,0.17500000000000002
57,0.4857353212861779,0.0,0.0,0.07750000000000001,0.0526782687642637,0.1875
58,0.42089775574143073,0.0,0.0,0.0925,0.07648529270389177,0.1875
59,0.5417447785756832,0.0,0.0,0.11500000000000002,0.07660776723022282,0.1875
60,0.5647963900413401,31.552233271734444,0.009617695197308526,0.095,0.07462405778299651,0.1875
61,0.4231792007054129,0.0,0.0,0.09375,0.07588025105388095,0.1875
62,0.4842498563934538,2.4872785076093584,0.0005263249696365077,0.06875,0.07032291589517603,0.1875
63,0.5698086190998574,5.410406257398502,0.0011932604183622964,0.07250000000000001,0.051780787943019956,0.17500000000000002
64,0.4879723644059753,0.0,0.0,0.125,0.08042853971072707,0.1875
65,0.4717327382614925,0.0,0.0,0.05874999999999999,0.05674779731408083,0.1875
66,0.4237669001853389,32.09914453144253,0.009698484225401708,0.07,0.07271519786124495,0.1875
67,0.5523590891948297,11.606445209415364,0.0027332241882655627,0.06875,0.05455788210698799,0.1875
68,0.493296635045468,0.0,0.0,0.04625,0.031149839485942785,0.08750000000000001
69,0.4802003450890028,35.04948141631169,0.011141296484018846,0.075,0.08196798155377501,0.1875
70,0.4734683445781106,0.0,0.0,0.08249999999999999,0.07810249675906655,0.1875
71,0.48575163591193754,0.0,0.0,0.085,0.06609652033201142,0.1875
72,0.5042341321983241,0.0,0.0,0.05625,0.03676360292463186,0.08750000000000001
73,0.4782076250327048,25.12298335282089,0.006922795261457728,0.09,0.07578753195612059,0.1875
74,0.5509819019671364,0.0,0.0,0.07750000000000001,0.06819090848492927,0.1875
75,0.481788637872102,0.0,0.0,0.14625000000000002,0.06983238861731711,0.1875
76,0.4494993043506286,0.0,0.0,0.08625000000000001,0.06481946081232087,0.1875
77,0.5036324898988219,0.0,0.0,0.05125,0.0557477578024444,0.1875
78,0.6373219142910355,0.0,0.0,0.0425,0.03269174207655505,0.08750000000000001
79,0.5251362563481867,11.927661275829138,0.0028091592472734837,0.06875,0.07032291589517603,0.1875
80,0.5080475058604504,49.248669184548014,0.020118747341581818,0.06999999999999999,0.0694172168845741,0.1875
81,0.500248649568726,35.114606363831705,0.011199872577095222,0.08875,0.0628614548034008,0.1875
82,0.47777816709154436,0.0,0.0,0.06625,0.06870453041830649,0.1875
83,0.5433060115997167,0.0,0.0,0.09625000000000002,0.07332504688031233,0.1875
84,0.4287165402476668,0.0,0.0,0.0775,0.08135570047636491,0.1875
85,0.5345810414799163,55.414393076680945,0.025867107572248634,0.058750000000000004,0.07138145767634618,0.1875
86,0.5016971435487321,0.0,0.0,0.10874999999999999,0.07746975216173084,0.1875
87,0.5127202024366007,14.519907834634783,0.0035181241868323873,0.06625,0.02960679820581753,0.08750000000000001
88,0.4695211414386207,0.0,0.0,0.0375,0.024999999999999998,0.08750000000000001
89,0.5221351545322307,0.0,0.0,0.05,0.056457948953181084,0.1875
90,0.42497532370723917,12.872190466193286,0.003029302798916785,0.10125000000000002,0.08430784364458624,0.1875
91,0.45371353142533394,0.0,0.0,0.095,0.07399324293474371,0.17500000000000002
92,0.6352815540532532,0.0,0.0,0.034999999999999996,0.0329772648956823,0.08750000000000001
93,0.4710213627264163,0.0,0.0,0.05750000000000001,0.03674234614174767,0.08750000000000001
94,0.48800946360146585,13.625635674882655,0.0032573976775897425,0.08750000000000001,0.06349212549600147,0.17500000000000002
95,0.5003729973578994,5.596673970689879,0.0012257448825650449,0.11625,0.061250000000000006,0.1875
96,0.4650914915888113,6.452848817520984,0.0014203224629989603,0.07125,0.0684767296240117,0.1875
97,0.540913379527447,25.626085358461193,0.007164434124954005,0.09375,0.07588025105388095,0.1875
98,0.5577066868933797,0.0,0.0,0.1,0.06982120021884472,0.17500000000000002
99,0.5024865338358895,0.0,0.0,0.0875,0.0670820393249937,0.1875
100,0.4523334087945723,0.0,0.0,0.07375000000000001,0.0705890395174775,0.1875
101,0.4611765235354981,0.0,0.0,0.1025,0.08077747210701756,0.1875
102,0.4472747135062812,0.0,0.0,0.12375,0.07914583059138365,0.1875
103,0.42522836743398096,0.0,0.0,0.08000000000000002,0.049749371855331,0.17500000000000002
104,0.4638665104687101,19.217229281199305,0.004899254646197004,0.08249999999999999,0.05220153254455275,0.1875
105,0.4941563912404932,7.449909200988773,0.001663131296137461,0.10500000000000001,0.08104782538723665,0.1875
106,0.48735735805569685,0.0,0.0,0.0675,0.05567764362830022,0.1875
107,0.5158624393620796,0.0,0.0,0.07250000000000001,0.06819090848492927,0.1875
108,0.5188463692021656,40.3327868644967,0.014025198775934724,0.07,0.05425633603552677,0.1875
109,0.43646973803400824,0.023644414752945757,4.853706446647619e-06,0.07125000000000001,0.05304773793480736,0.1875
110,0.5754468495609283,11.130193267566495,0.0026151343827051678,0.05750000000000001,0.057608593109014575,0.1875
111,0.4895888871517167,0.0,0.0,0.061250000000000006,0.059015358170564386,0.1875
112,0.4919073004586872,0.0,0.0,0.08249999999999999,0.065,0.1875
113,0.5324840922202486,14.247566142262896,0.003449735305453925,0.09625000000000002,0.08515610665125549,0.1875
114,0.4902101497492459,0.0,0.0,0.08,0.06666145812986692,0.1875
115,0.4827400071353838,0.0,0.0,0.07625,0.06856794075951239,0.1875
116,0.4681346538966743,0.0,0.0,0.07625,0.06577661058461436,0.1875
117,0.4767915284183126,26.326855339278577,0.007372172805185965,0.0775,0.06819090848492929,0.1875
118,0.5056728743312962,0.0,0.0,0.08125,0.06549093448714868,0.1875
119,0.6229259946145671,0.0,0.0,0.10250000000000001,0.0675,0.17500000000000002
120,0.4986782450803748,24.917580460267903,0.006863951330825684,0.07625000000000001,0.05316542579534185,0.1875
121,0.4547469992343474,0.0,0.0,0.07875,0.06709368450159822,0.1875
122,0.5675409638955302,0.0,0.0,0.065,0.052678268764263694,0.17500000000000002
123,0.43526291728474664,0.0,0.0,0.0425,0.024494897427831782,0.08750000000000001
124,0.4962250677721937,37.49039709767637,0.012407477122808161,0.0975,0.07262919523166976,0.1875
125,0.5444341755712909,0.0,0.0,0.09625,0.06226204702706136,0.1875
126,0.5310225899571699,0.0,0.0,0.10625000000000002,0.0669071184553632,0.1875
