tau2_estimator,interval,tau_squared,pooled_effect,pooled_se,ci_lower,ci_upper,i_squared,pi_lower,pi_upper
DerSimonian-Laird,Wald,0.0029725790513833975,-0.003341904449189237,0.06499147324415269,-0.13072285130992709,0.1240390424115486,16.973467055985775,-0.3683446022319703,0.3616607933335918
DerSimonian-Laird,Hartung-Knapp,0.0029725790513833975,-0.003341904449189237,0.06519997497534785,-0.21083732391411142,0.20415351501573292,16.973467055985775,-0.369032350778652,0.3623485418802735
REML,Wald,0.003164290886757563,-0.003048952514971701,0.06543554875494917,-0.13130027138328684,0.12520236635334345,16.973467055985775,-0.37432829277343366,0.3682303877434902
REML,Hartung-Knapp,0.003164290886757563,-0.003048952514971701,0.06530105411373652,-0.2108660509104002,0.2047681458804568,16.973467055985775,-0.37388966047963795,0.3677917554496945
Paule-Mandel,Wald,0.003089061978987351,-0.0031630679629546824,0.06526179034643842,-0.13107382660857775,0.12474769068266839,16.973467055985775,-0.37199260514072646,0.3656664692148171
Paule-Mandel,Hartung-Knapp,0.003089061978987351,-0.0031630679629546824,0.0652617903757987,-0.21085521162065132,0.20452907569474196,16.973467055985775,-0.37199260523690225,0.3656664693109929
