tau2_estimator,interval,tau_squared,pooled_effect,pooled_se,ci_lower,ci_upper,i_squared,pi_lower,pi_upper
DerSimonian-Laird,Wald,0.0,-0.2505490196078431,0.057394404318355144,-0.36303998498594936,-0.13805805422973685,0.0,-0.43320362957478353,-0.06789440964090263
DerSimonian-Laird,Hartung-Knapp,0.0,-0.2505490196078431,0.04672954241765726,-0.3802910289214805,-0.12080701029420568,0.0,-0.3992632792225407,-0.10183475999314551
REML,Wald,0.0,-0.2505490196078431,0.057394404318355144,-0.36303998498594936,-0.13805805422973685,0.0,-0.43320362957478353,-0.06789440964090263
REML,Hartung-Knapp,0.0,-0.2505490196078431,0.04672954241765726,-0.3802910289214805,-0.12080701029420568,0.0,-0.3992632792225407,-0.10183475999314551
Paule-Mandel,Wald,0.0,-0.2505490196078431,0.057394404318355144,-0.36303998498594936,-0.13805805422973685,0.0,-0.43320362957478353,-0.06789440964090263
Paule-Mandel,Hartung-Knapp,0.0,-0.2505490196078431,0.04672954241765726,-0.3802910289214805,-0.12080701029420568,0.0,-0.3992632792225407,-0.10183475999314551
