study,variable,type,mean_I,sd_I,mean_C,sd_C,prop_I,prop_C,is_endpoint
UKPDS 33 (1998),Age,continuous,53.3,8.6,53.4,8.7,,,0
UKPDS 33 (1998),Male,binary,,,,,0.61,0.58,0
UKPDS 33 (1998),BMI,continuous,27.5,5.1,27.2,5.0,,,0
UKPDS 33 (1998),HbA1c,continuous,7.0,1.3,7.0,1.3,,,0
UKPDS 33 (1998),FPG,continuous,8.0,2.6,8.0,2.5,,,0
UKPDS 33 (1998),Smoking,binary,,,,,0.33,0.3,0
UKPDS 33 (1998),Hypertension,binary,,,,,0.39,0.4,0
UKPDS 33 (1998),Mortality,binary,,,,,0.178,0.189,1
ACCORD (2008),Age,continuous,62.2,6.8,62.2,6.8,,,0
ACCORD (2008),Male,binary,,,,,0.61,0.62,0
ACCORD (2008),BMI,continuous,32.2,5.5,32.2,5.5,,,0
ACCORD (2008),HbA1c,continuous,8.1,1.0,8.1,1.0,,,0
ACCORD (2008),Duration_DM,continuous,10.0,7.0,10.0,7.0,,,0
ACCORD (2008),CVD_history,binary,,,,,0.35,0.35,0
ACCORD (2008),Smoking,binary,,,,,0.14,0.14,0
ACCORD (2008),Hypertension,binary,,,,,0.86,0.86,0
ACCORD (2008),Statin_use,binary,,,,,0.62,0.62,0
ACCORD (2008),Aspirin_use,binary,,,,,0.55,0.54,0
ACCORD (2008),SBP,continuous,136.0,17.0,136.0,17.0,,,0
ACCORD (2008),Creatinine,continuous,0.9,0.2,0.9,0.2,,,0
ACCORD (2008),Mortality,binary,,,,,0.05,0.04,1
ADVANCE (2008),Age,continuous,66.0,6.4,66.0,6.3,,,0
ADVANCE (2008),Male,binary,,,,,0.57,0.58,0
ADVANCE (2008),BMI,continuous,28.3,5.2,28.3,5.1,,,0
ADVANCE (2008),HbA1c,continuous,7.5,1.6,7.5,1.5,,,0
ADVANCE (2008),Duration_DM,continuous,7.9,6.3,8.0,6.3,,,0
ADVANCE (2008),CVD_history,binary,,,,,0.32,0.32,0
ADVANCE (2008),Smoking,binary,,,,,0.13,0.14,0
ADVANCE (2008),Hypertension,binary,,,,,0.91,0.91,0
ADVANCE (2008),SBP,continuous,145.0,21.7,145.0,21.5,,,0
ADVANCE (2008),DBP,continuous,81.0,10.8,81.0,10.7,,,0
ADVANCE (2008),Creatinine,continuous,88.0,22.0,88.0,22.0,,,0
ADVANCE (2008),Mortality,binary,,,,,0.088,0.093,1
VADT (2009),Age,continuous,60.4,9.0,60.4,8.7,,,0
VADT (2009),Male,binary,,,,,0.97,0.97,0
VADT (2009),BMI,continuous,31.3,4.5,31.2,4.6,,,0
VADT (2009),HbA1c,continuous,9.4,1.5,9.4,1.5,,,0
VADT (2009),Duration_DM,continuous,11.5,7.3,11.5,7.4,,,0
VADT (2009),CVD_history,binary,,,,,0.4,0.42,0
VADT (2009),Smoking,binary,,,,,0.17,0.17,0
VADT (2009),Hypertension,binary,,,,,0.72,0.72,0
VADT (2009),SBP,continuous,132.0,16.0,131.0,17.0,,,0
VADT (2009),LDL_Cholesterol,continuous,104.0,32.0,105.0,32.0,,,0
VADT (2009),Triglycerides,continuous,196.0,145.0,193.0,130.0,,,0
VADT (2009),Mortality,binary,,,,,0.107,0.109,1
