n_studies,pooled_effect,pooled_se,ci_lower,ci_upper,i_squared,tau_squared,q_statistic,icr_mean,icr_sd,icr_cv,icrd
2,-0.3393617021276596,0.09453131868733218,-0.5246430867548306,-0.15408031750048853,0.0,0.0,0.30638297872340425,0.1,0.0,0.0,0.0
3,-0.26095221593237994,0.08539845961155888,-0.4283331967710353,-0.09357123509372453,12.526129602830027,0.002906716417910445,2.286397058823529,0.09696969696969697,0.0052486388108147815,0.05412658773652743,0.009090909090909094
4,-0.2587136929460581,0.059037929997783935,-0.3744280357417146,-0.1429993501504016,0.0,0.0,2.3032157676348546,0.09772727272727272,0.004545454545454547,0.046511627906976764,0.009090909090909094
5,-0.2505490196078431,0.057394404318355144,-0.36304205207181917,-0.13805598714386702,0.0,0.0,2.6515751633986926,0.09818181818181818,0.00406557814090871,0.041408666249996125,0.009090909090909094
