excluded_country,n_countries,r_loading,p_loading,r_regression,p_regression
United Kingdom,7,0.16911754042092297,0.7169851495348329,0.9541916535329549,0.0008415376882661949
Italy,7,0.286169361166861,0.5338294544743126,0.9082828313842041,0.00465479970596978
Switzerland,7,0.25770835037812806,0.5768827711866211,0.9141564468585265,0.003957790361233013
Poland,7,0.1535473319326739,0.74239193589801,0.8596552332061306,0.013121563844786457
Netherlands,7,0.5259035593562822,0.22535544176840178,0.9027985287524007,0.00536584469685149
Sweden,7,0.20503313562944098,0.6591948613917014,0.8426808272638494,0.017289768958927903
Australia,7,0.27178780118071344,0.5554497118994884,0.8746357946586134,0.009978824890896097
Argentina,7,0.29856887044470337,0.5154202464678562,0.8975949820896875,0.006095450914500049
None (all countries),8,0.2648099137845665,0.5262051030844949,0.8955356463281373,0.002631369718617448
