country,country_code,n,mortality_rate,icr_std,icr_pca_loading,icr_pca_reg,n_endpoint_pcs
United Kingdom,UK,5787,0.28598583030931396,0.04,0.13846121805960782,0.0016185279763828607,4
Italy,ITAL,3112,0.19987146529562982,0.04,0.04629904278691889,0.0015281910506832227,2
Switzerland,SWIT,1631,0.23114653586756592,0.04,0.12141597047914968,0.0013538009844130873,4
Poland,POLA,759,0.2964426877470356,0.04,0.13892899343838033,0.0023039076248064397,4
Netherlands,NETH,728,0.18269230769230768,0.04,0.17966218354324653,0.0013603390803802638,5
Sweden,SWED,636,0.12735849056603774,0.04,0.09613426145697375,0.0007328208219441193,3
Australia,AUSL,568,0.14964788732394366,0.04,0.10933305719317113,0.0009615434079494955,4
Argentina,ARGE,545,0.21834862385321102,0.04,0.07943231054007464,0.0015721809359801103,3
